name,address,online_order,book_table,location,restaurant_type,cuisines,category,city,votes,rating,cost_for_two
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Dine-out,Banashankari,13,3.1,400.0
New Prashanth Hotel,"215, 2nd Main, Thygarajanagar, Basavanagudi, Bangalore",No,No,Basavanagudi,Casual Dining,"South Indian, Biryani, Chinese, North Indian",Dine-out,Banashankari,34,2.9,750.0
Meat And Eat,"241, 100 Feet Road, Opposite Eshwari Theater, 3rd stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Fast Food, Burger",Delivery,Banashankari,10,3.1,500.0
Ovenstory Pizza,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Delivery,Pizza,Delivery,Banashankari,172,3.9,750.0
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",No,Yes,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,808,4.0,850.0
Redberrys,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Cafe,"Cafe, Italian",Desserts,Banashankari,219,4.0,600.0
New Rajadhani Spicy,"16, Lalitha Enterprises, Kadirenahalli Main, Bendre Nagar, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Casual Dining,North Indian,Delivery,Banashankari,67,3.7,700.0
Srikrishna Bhavan,"Next To BMTC Bus Stand, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",Dine-out,Banashankari,42,3.8,300.0
@Italy,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Casual Dining,Italian,Delivery,Banashankari,305,4.1,700.0
Masale Daan,"Fresh Menu, Stavyah Arcade #10, 3rd floor 9th Main, Opp to Daily Bread, Yarab Nagar Main Rd, Banashankari Stage II, Bengaluru- 560070.",Yes,No,Banashankari,Delivery,North Indian,Delivery,Banashankari,4,3.1,350.0
Mystique Palate,"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"Chinese, Fast Food",Delivery,Banashankari,337,4.1,300.0
Kabab Magic,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",Delivery,Banashankari,1720,4.1,400.0
Srinivasa Brahmins Bakery,"125, 1st Floor, Abalashram Building, DV Gundappa Road, Basavanagudi, Bangalore",No,No,Basavanagudi,"Bakery, Quick Bites","Bakery, Street Food",Desserts,Banashankari,16,3.6,150.0
Roti Ghar,"17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian",Delivery,Banashankari,750,3.9,500.0
Hotel Pork Paradise,"D/25, 2nd Main, 260 Mysore Road Tollgate, Opposite Gopalan Mall, Mysore Road, Bangalore",Yes,No,Mysore Road,Quick Bites,South Indian,Dine-out,Banashankari,21,3.7,300.0
Food Springs,"559, 32nd Cross, 10th A Main, 4th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"South Indian, Chinese",Delivery,Banashankari,232,4.0,400.0
Subway,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Salad, Fast Food",Delivery,Banashankari,136,3.7,600.0
LSD Cafe,"100 Feet Road, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",Delivery,Banashankari,84,2.9,700.0
Shree Mahalakshmi Sweets,"344, 50 Feet Road, Dasarhalli, Srinagar, Banashankari, Bangalore",Yes,No,Banashankari,Sweet Shop,"Mithai, Street Food",Desserts,Banashankari,8,3.2,100.0
Kadalu Sea Food Restaurant,"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Yes,No,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",Delivery,Banashankari,153,3.8,500.0
Roving Feast,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",Delivery,Banashankari,1047,4.0,450.0
Maruthi Davangere Benne Dosa,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,17,4.0,150.0
Floured-Baked With Love,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",No,No,Banashankari,"Takeaway, Delivery",Bakery,Delivery,Banashankari,45,3.8,400.0
Daal Roti,"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,35,2.9,250.0
Vaishali Deluxe,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,42,3.8,700.0
Bhattara Bhojana,"855/A, 5th A Cross,10th Main Road, Srinivasanagar, Towords Maruthi Circle, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,66,3.6,150.0
New Mangalore Lunch Home,"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",Dine-out,Banashankari,7,3.3,200.0
Ibaco,"Shop 58, 50 Feet Road, Opposite to Kathriguppe Water Tank, 1st Block, 3rd Stage, 1st Block, Banashankari, Bangalore",Yes,No,Banashankari,Dessert Parlor,Desserts,Desserts,Banashankari,41,3.9,300.0
New Imperial Restaurant,"39/3C, Banashankari, Bangalore",No,No,Banashankari,Casual Dining,"North Indian, Chinese",Dine-out,Banashankari,39,3.7,450.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Cafe,Cafe,Cafes,Banashankari,402,4.1,500.0
Juicy Momos,"32, 22nd Cross, 22nd Main, 2nd Stage, Near BDA Complex, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Tibetan, Momos",Delivery,Banashankari,80,3.5,250.0
Tandoori Bytes,"16, Sri Banashankri Arcade, Opposite GSI Building, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Casual Dining,North Indian,Delivery,Banashankari,59,3.6,700.0
Nammura Donne Biriyani,"84/1, South End Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"Biryani, Fast Food",Dine-out,Banashankari,155,3.5,400.0
Udupi Sri Krishna Bhavan,"115/116, 1st Floor, Gandhibazaar, Basavanagudi, Bangalore",No,No,Basavanagudi,Quick Bites,South Indian,Dine-out,Banashankari,238,4.1,600.0
Bendakaluru Bytes,"1349, 4th Cross Road, Kilkodungalur, RPC Layout, Vijay Nagar, Bangalore",Yes,No,Vijay Nagar,Quick Bites,Fast Food,Delivery,Banashankari,154,3.2,300.0
Anand Sweets and Savouries,"4 & 5, 27th Cross, 4th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Sweet Shop,"Mithai, Street Food",Delivery,Banashankari,84,3.9,400.0
Mulabagilu Dosa,"19, V.V.puram National School Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,South Indian,Delivery,Banashankari,11,3.6,100.0
Sweet N Swirl,"18/22, 22nd Main, 80 Feet Road, Hanumanth Nagar, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Dessert Parlor,"Desserts, Ice Cream",Desserts,Banashankari,17,3.2,150.0
Sri Krishna Darshini,"60/2, Sajjan Rao Circle, V V Puram, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",Delivery,Banashankari,4,3.1,200.0
Hotel Mangala,"Hotel Mangala, 10th Main, Pipeline Road, Hanumanth Nagar, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,88,3.9,250.0
Vi Ra's Bar and Restaurant,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Bar,"South Indian, North Indian, Chinese",Drinks & nightlife,Banashankari,62,3.3,800.0
Swadd Kitchen,"32/2, DVG Road, Basavanagudi, Karnataka, Bangalore",Yes,No,Basavanagudi,Casual Dining,"North Indian, Fast Food",Delivery,Banashankari,4,3.4,500.0
Chickpet Donne Biryani House,"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,Biryani,Delivery,Banashankari,21,3.7,250.0
Eat Repeat,"13, 4th Cross Road, NR Colony, Basavanagudi, Bengaluru",Yes,No,Basavanagudi,Quick Bites,South Indian,Delivery,Banashankari,101,3.9,150.0
Chicken Hunt,"222, 100 Feet Road, Near Kathriguppe Signal, Opposite Udbav Hospital, 6th Block, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",Dine-out,Banashankari,88,3.5,350.0
Dwaraka Grand,Near dayananda sagar college kumarswamy layout,Yes,No,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",Delivery,Banashankari,128,3.9,500.0
Chung's Chinese Corner,"295, Sri Krishna Complex, 10th Main, 3rd Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Casual Dining,Chinese,Delivery,Banashankari,221,3.9,700.0
Udupi Upachar,"5 Zaina Towers, 9th Main Yarab Nagar Main Road Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"South Indian, North Indian",Dine-out,Banashankari,6,3.3,500.0
Ganesh Grand,"91/1, Ganesh Mahal Building, Sirsi Road, Chamarajpet, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"South Indian, North Indian, Desserts",Delivery,Banashankari,30,3.7,300.0
J K Fish Land,"272, 14th Cross Road, Yediyur, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"Seafood, Mangalorean",Dine-out,Banashankari,35,3.6,300.0
The Vintage Cafe,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",Yes,No,Banashankari,Cafe,"Cafe, French, North Indian",Delivery,Banashankari,62,3.0,400.0
The Biryani Cafe,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",Dine-out,Banashankari,520,4.1,300.0
Gama Gama,"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,264,3.9,200.0
Upahara Darshini,"9/2, South End Main Road, Next to Surana College, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",Delivery,Banashankari,40,3.9,600.0
Beijing Bites,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Casual Dining,"Chinese, Thai",Dine-out,Banashankari,128,2.7,850.0
Davanagere Benne Dose Hut,"Shop 97, 22nd Main Road, Near Banashankari BDA complex, Banashankari Stage II, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,10,3.4,100.0
Seven Star,"23/35, 7th Cross, Dwarakanagar, Hosakerhalli, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,7,3.4,250.0
My Tea House,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",Yes,No,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",Delivery,Banashankari,62,3.6,600.0
Juice Junction Food Court,"54, Bull Temple Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"Juices, South Indian, Chinese, Fast Food",Dine-out,Banashankari,57,3.7,200.0
Sri Venkateshwara Chat Centre,"487, Kavery Complex, 2nd Main, Bank Colony Bus Stop, Srinivasnagar, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,Street Food,Dine-out,Banashankari,12,3.5,100.0
Kholi Mane,"144/1, 2nd Main Road, 2nd Block, Thyagaraja Nagar, Basavanagudi, Bangalore",No,No,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",Delivery,Banashankari,46,3.6,450.0
Kholi Mane,"144/1, 2nd Main Road, 2nd Block, Thyagaraja Nagar, Basavanagudi, Bangalore",No,No,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",Dine-out,Banashankari,46,3.6,450.0
Davangere Butter Dosa Hotel,"1771, 14th Main Road, 1stage, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Quick Bites,South Indian,Delivery,Banashankari,25,3.8,150.0
Tasty Bytes,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",Delivery,Banashankari,245,3.1,300.0
Lassi Stop,"11,12, 80 Feet Road, Behind Reliance Fresh, Banashankri, Bangalore",Yes,No,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",Delivery,Banashankari,12,3.4,150.0
Naveen Kabab & Biriyani Mane,"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,Biryani,Delivery,Banashankari,9,3.2,300.0
Sri Krishna Sweets,"121, DVG Road, R.M Complex, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Sweet Shop,"Mithai, Desserts",Desserts,Banashankari,22,3.7,250.0
New Prashanth Hotel,"43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",Delivery,Banashankari,388,3.9,650.0
Amma's Pastries,"57/18, 12th Main, Opposite PES College, Banashankari, Bangalore",No,No,Banashankari,Dessert Parlor,Bakery,Desserts,Banashankari,60,3.8,400.0
Kollapuri's,"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore",No,No,Basavanagudi,Quick Bites,"South Indian, Mangalorean",Delivery,Banashankari,206,3.9,450.0
My Tea House,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",Yes,No,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",Cafes,Banashankari,62,3.6,600.0
Catch-up-ino,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Yes,No,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",Delivery,Banashankari,133,3.9,800.0
Upahar Sagar,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",Delivery,Banashankari,39,3.8,350.0
The Lassi Park,"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"Juices, Desserts",Delivery,Banashankari,185,4.1,200.0
RS Shiv Sagar,"5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore",No,No,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",Delivery,Banashankari,217,3.7,450.0
Parjanya Chat Zone,"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Street Food, Fast Food",Delivery,Banashankari,17,3.3,200.0
Om Shiva Shakthi Chats Centre,"90/3, Eat Street, Basavanagudi, Bangalore",No,No,Basavanagudi,Quick Bites,"Street Food, Fast Food",Dine-out,Banashankari,26,3.9,300.0
Lalbagh Grand,"1, Krishna Rao Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",Delivery,Banashankari,22,3.0,250.0
Swadesh Tadka,"101, Manjunatha Complex, Near BDA Complex, 22nd Main, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Casual Dining,"North Indian, Chinese, Beverages",Dine-out,Banashankari,179,3.5,600.0
Utsav Restaurant,"38/A, Mount Joy Road, Hanumanthnagar, Behind BMS College, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,61,3.8,300.0
In Time Cane Juice,"119, 5th Cross, Teachers Colony, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",Delivery,Banashankari,10,3.5,100.0
Redberrys,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Cafe,"Cafe, Italian",Cafes,Banashankari,219,4.0,600.0
Hanumanthanagar Biryani Junction,"Opposite SVC Bank, Mount Joy Road, Hanumanth Nagar, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,17,3.5,300.0
Chinese Kitchen,"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,Chinese,Dine-out,Banashankari,58,3.8,150.0
The Krishna Grand,"1, Monotype, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Juices",Dine-out,Banashankari,888,3.9,750.0
Hotel New Karavali,"89, Behind Venkateshwara Bar, Near PES College, 1st Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",Dine-out,Banashankari,133,3.8,300.0
Veganbreak24x7,"2, Medical College East Main Road, Kalasipalyam, Behind Bangalore Medical College, City Market, Bangalore",Yes,No,City Market,"Takeaway, Delivery","South Indian, Chinese, Continental, Biryani",Delivery,Banashankari,5,2.8,199.0
Taaza Thindi,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,651,4.7,100.0
Roll N Rock,"608, 21st Cross, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",Delivery,Banashankari,124,3.8,400.0
SVKP Daily Fresh,"240, 9th Main, Srinivasanagar, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,5,3.3,350.0
Lassi Corner,"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",Delivery,Banashankari,107,3.7,150.0
Castle Rock,"1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore",Yes,No,Uttarahalli,Casual Dining,"North Indian, Chinese",Dine-out,Banashankari,172,3.6,700.0
Krishna Sagar,"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,North Indian,Delivery,Banashankari,31,3.5,200.0
Frozen Bottle,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Yes,No,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",Delivery,Banashankari,146,4.2,400.0
Cafe Coffee Day,"28th Main, 8th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Cafe,"Cafe, Fast Food",Delivery,Banashankari,17,3.2,900.0
Poonam Sweets,"43, BDA Complex, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Sweet Shop,Mithai,Desserts,Banashankari,356,4.4,150.0
The Big O Bakes,"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",No,No,Banashankari,Bakery,"Bakery, Desserts",Desserts,Banashankari,66,4.0,300.0
North Rasoe,"52, Dayanand Sagar College Road, Teachers Colony, Near ICICI Bank ATM, Bangalore East, Bangalore Urban Karnataka, Kumaraswamy Layout, Bangalore.",Yes,No,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",Delivery,Banashankari,5,3.1,500.0
Foodiction,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",Delivery,Banashankari,506,2.8,500.0
Udupi Ruchi Grand,"6th Block, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,60,4.2,200.0
Maruthi Davangere Benne Dosa,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,South Indian,Dine-out,Banashankari,17,4.0,150.0
Srikrishna Bhavan,"Next To BMTC Bus Stand, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",Delivery,Banashankari,42,3.8,300.0
Andhra Ruchulu,"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore",Yes,Yes,Jayanagar,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",Delivery,Banashankari,666,4.1,1000.0
Namma Biryani,"1111, Near KIMS, 30th Main Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Biryani, Chinese, North Indian",Dine-out,Banashankari,24,3.6,250.0
Sandwichwallas,"278, 37th A Cross, 2nd Main, 8th Block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,Fast Food,Delivery,Banashankari,35,3.7,200.0
FreshMenu,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",Yes,No,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,Banashankari,627,3.9,450.0
Ice Thunder,"DV Gundappa Road, Gandhi Bazar Circle, Binny Talkies, Basavanagudi, Bangalore",No,No,Basavanagudi,Quick Bites,"South Indian, Fast Food, North Indian, Desserts",Dine-out,Banashankari,124,3.8,300.0
Meat And Eat,"21/22, 24th Main 50 Feet Road, T block, Girinagar, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Fast Food, Burger",Dine-out,Banashankari,12,3.5,500.0
Basavanagudi Mylari,"26/2, Bugle Rock Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka",No,No,Basavanagudi,Quick Bites,South Indian,Dine-out,Banashankari,52,4.0,300.0
Shreyas Upahar & Burger Point,"Jain Temple Street, V.V.Puram, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"South Indian, Burger",Delivery,Banashankari,7,3.0,200.0
Kolbeh,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,Fast Food,Delivery,Banashankari,22,3.7,500.0
San Churro Cafe,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Buffet,Banashankari,918,3.8,800.0
Blue Wings Bar & Restaurant,"488/1, 7th Main Road, 50 Feet Road, Hannumantha Nagar, Banashankari, Bangalore",No,No,Banashankari,"Bar, Casual Dining","North Indian, Chinese",Dine-out,Banashankari,43,3.7,700.0
Waffle-A-Go Go,"599, 24th Cross, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Dessert Parlor,"Fast Food, Desserts, Ice Cream",Desserts,Banashankari,70,3.9,400.0
Tiwari's,"616/2, 31st Cross, 10th A Main Road, 4th block, Jayanagar, Bangalore",Yes,No,Jayanagar,Quick Bites,"North Indian, Street Food",Delivery,Banashankari,70,3.8,200.0
Peppy Peppers,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",No,No,Banashankari,Casual Dining,"Italian, North Indian, Mexican",Delivery,Banashankari,244,4.2,800.0
Blue Wings Bar & Restaurant,"488/1, 7th Main Road, 50 Feet Road, Hannumantha Nagar, Banashankari, Bangalore",No,No,Banashankari,"Bar, Casual Dining","North Indian, Chinese",Drinks & nightlife,Banashankari,43,3.7,700.0
KFC,"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Quick Bites,"Burger, Fast Food",Delivery,Banashankari,505,3.8,450.0
Amande Patisserie,"115, 4th Main, 4th Stage, Thyagarajanagar, Near, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Bakery,"Bakery, French, Desserts",Delivery,Banashankari,73,4.0,300.0
The Coffee Shack,"6th Block, 3rd Stage, Banashankari, Bangalore",Yes,Yes,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Delivery,Banashankari,164,4.2,500.0
Lassi Shop,"742, 50 Feet Rd, Raghavendra Block, Banashankari 3rd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Beverage Shop,"Beverages, Ice Cream, Fast Food",Delivery,Banashankari,45,3.5,300.0
J Spice,"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,59,3.8,750.0
Karavali Lunch Home,"1779, 14th Main, Kumaraswamy Layout, Bangalore",Yes,No,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",Delivery,Banashankari,51,3.7,350.0
New Quality Dum Biryani,"106/729, 80 Feet Road, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,Biryani,Dine-out,Banashankari,9,3.1,200.0
Sea Spice by 7 Star,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore",Yes,Yes,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",Delivery,Banashankari,349,4.0,1200.0
Punjabi Raswada,"SM Towers, Near Cosmopolitan Club, 4/3/1 & 3/2, 1st Floor, 11th Main, Jayanagar, Bangalore",Yes,Yes,Jayanagar,Casual Dining,North Indian,Delivery,Banashankari,431,3.5,800.0
Shanthi Sagar,"24, Subramaniapura Main Road, Uttarahalli, Bangalore",Yes,No,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",Delivery,Banashankari,28,3.1,400.0
The Krishna Grand,"1, Monotype, 2nd Stage, Banashankari, Bangalore",Yes,No,Banashankari,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Juices",Delivery,Banashankari,888,3.9,750.0
Baisakhi,"160, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Casual Dining,North Indian,Delivery,Banashankari,527,3.8,500.0
Kaggis,"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",No,No,Banashankari,Quick Bites,"Fast Food, Bakery",Delivery,Banashankari,64,3.8,250.0
Nammura Donne Biriyani,"84/1, South End Road, Basavanagudi, Bangalore",Yes,No,Basavanagudi,Quick Bites,"Biryani, Fast Food",Delivery,Banashankari,155,3.5,400.0
Manifest Cafe,"#9, 5th Cross, 7th Main, Dwaraka Nagar, Near PESIT College, Hosakerehalli, Banashankari 3rd Stage, Bangalore",No,No,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",Dine-out,Banashankari,10,3.5,500.0
