name,address,online_order,book_table,location,restaurant_type,cuisines,category,city,votes,rating,cost_for_two
Abbabi Chicken,"75/2B, Near Trinity Meadows, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,Fast Food,Dine-out,Bellandur,133,3.8,200.0
Suryawanshi,"71/1A, 1st Floor, Kaikondrahalli, Sarjapur Main Road, Bengaluru, Karnataka",Yes,Yes,Sarjapur Road,Casual Dining,"Maharashtrian, Seafood",Dine-out,Bellandur,125,4.5,700.0
Village - The Soul of India,"1st Floor, Total Mall, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Casual Dining,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",Buffet,Bellandur,1225,3.9,1100.0
YumYumDilli,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Delivery,North Indian,Delivery,Bellandur,16,3.5,500.0
Little Italy,"12/3/2, Ambalipura Village, Sarjapur Road, Bangalore",Yes,Yes,Sarjapur Road,Casual Dining,"Italian, Pizza",Delivery,Bellandur,715,4.3,1500.0
Aapni Rasoi,"73/5, 2nd Cross, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,North Indian,Dine-out,Bellandur,127,3.2,400.0
Andhra Vilaas,"17/1, Chandra Mansion, Opposite Spring Field Apartments, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Andhra, North Indian, Biryani",Dine-out,Bellandur,52,3.7,350.0
Melting Melodies,"56, Lakshman Reddy Building, Devarabisanahalli, Outer Ring Road",Yes,No,Bellandur,"Dessert Parlor, Bakery","Desserts, Bakery",Desserts,Bellandur,11,3.6,300.0
Mughal Samraj,"Room 24, 11th Cross Dead End, Near Kick-on Grass Football Ground, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,Fast Food,Dine-out,Bellandur,4,3.2,600.0
The Hidden Home,"82/4B, Next To Wipro Corporate Office, Sarjapur Road, Bangalore",Yes,Yes,Sarjapur Road,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian",Dine-out,Bellandur,994,4.3,1300.0
Bahar Cafe,"Ground Floor, Vims Hospital Buidling, Opposite to More, Marathahalli, Bangalore",Yes,Yes,Marathahalli,Casual Dining,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",Delivery,Bellandur,903,4.0,750.0
Mast Biryani - Fresh Indian Kitchen,"3/2, Sarjapur Main Road, Ambalipura, Bangalore",No,No,Bellandur,"Takeaway, Delivery","Biryani, North Indian, Mughlai, Fast Food",Delivery,Bellandur,4,3.2,500.0
Sri Vasavi Restaurant,"48, Behind Toyota Showroom, Outer Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Chinese, Biryani",Dine-out,Bellandur,30,3.6,250.0
Bawarchi Khaana,"85/1, Near Narayana Collage, Green Glen Layout",Yes,No,Bellandur,Quick Bites,"North Indian, Chinese",Dine-out,Bellandur,56,3.3,600.0
Southinn,"65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"South Indian, Fast Food, Chinese, North Indian, Street Food",Dine-out,Bellandur,97,3.2,250.0
T Square,"3, Norbert Church Road, Behind Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Fast Food, Street Food",Dine-out,Bellandur,4,3.2,150.0
Chaai Resto,"71/1A, Lingappa Reddy Complex, Carmelaram Post, Sarjapur Main Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Cafe,"Cafe, Rolls, Fast Food",Dine-out,Bellandur,33,4.1,200.0
